-0.045811' -0.045445' 1.044442' -3.561250' -2.100000' -0.192500' -0.016077' 0.083017' 0.099240
-0.032818' -0.048983' 1.008574' -0.385000' 0.770000' -0.166250' -0.023385' 0.084771' 0.092517
-0.029341' -0.048617' 1.012234' -2.458750' -1.111250' -2.196250' -0.037124' 0.081555' 0.092224
-0.031049' -0.041907' 1.022848' -0.848750' -0.157500' -0.070000' -0.037124' 0.081555' 0.092224
-0.028121' -0.044164' 1.014857' -0.831250' 0.052500' 0.280000' -0.024554' 0.076586' 0.106402
-0.030988' -0.044408' 1.017175' -1.050000' -0.376250' 2.196250' -0.029816' 0.085940' 0.107425
-0.031659' -0.043310' 1.015772' -0.997500' -0.096250' 0.043750' -0.029816' 0.085940' 0.107425
-0.031049' -0.042700' 1.017602' -1.067500' -0.630000' 2.187500' -0.030108' 0.090032' 0.102455
-0.028243' -0.045628' 1.018090' -0.927500' -0.332500' -0.306250' -0.029816' 0.081847' 0.108740
-0.046848' -0.044957' 1.015528' -1.408750' -0.131250' -0.201250' -0.029816' 0.081847' 0.108740
-0.029951' -0.043066' 1.016138' -1.233750' -0.227500' -0.017500' -0.026600' 0.078632' 0.096609
-0.032208' -0.046421' 1.017663' -0.848750' -0.341250' -0.183750' -0.034785' 0.081555' 0.099532
-0.034953' -0.046116' 1.016077' -0.953750' -0.350000' -0.061250' -0.034785' 0.081555' 0.099532
-0.033245' -0.044713' 1.015650' -1.487500' -0.350000' -2.196250' -0.026308' 0.085063' 0.101140
-0.032208' -0.044713' 1.016443' -1.417500' -0.306250' 0.052500' -0.027185' 0.077463' 0.102748
-0.045201' -0.046177' 1.016260' -0.971250' -0.306250' -0.183750' -0.027185' 0.077463' 0.102748
-0.030500' -0.042578' 1.019615' -1.006250' -0.297500' 0.043750' -0.027770' 0.086817' 0.102894
-0.015677' -0.047092' 1.016809' -1.006250' -0.210000' 0.218750' -0.024847' 0.083309' 0.096463
-0.032391' -0.044286' 1.016870' -1.093750' -0.183750' -0.096250' -0.024847' 0.083309' 0.096463
-0.030683' -0.042761' 1.017663' -1.137500' -0.043750' -2.196250' -0.034785' 0.080386' 0.102163
-0.033550' -0.045750' 1.017541' -0.997500' -0.367500' -0.122500' -0.028354' 0.078047' 0.105963
-0.030744' -0.043188' 1.015528' -1.216250' -0.262500' -0.227500' -0.028354' 0.078047' 0.105963
-0.031537' -0.043676' 1.016626' -1.295000' -0.280000' -0.306250' -0.027477' 0.080970' 0.099678
-0.015677' -0.044225' 1.016138' -1.391250' -0.376250' -0.087500' -0.030108' 0.078047' 0.095148
-0.032757' -0.046177' 1.016504' -1.076250' -0.210000' -0.087500' -0.030108' 0.040631' 0.098948
-0.032940' -0.062403' 1.017297' -1.015000' -0.437500' -0.096250' -0.025139' 0.074247' 0.098948
-0.031842' -0.046604' 1.016260' -1.225000' -0.603750' -0.166250' -0.024847' 0.071616' 0.104502
-0.031781' -0.048190' 1.017358' -0.927500' -0.271250' -0.157500' -0.024847' 0.073955' 0.098363
-0.030683' -0.046787' 1.030168' -1.146250' -0.446250' -0.131250' -0.028354' 0.073955' 0.098363
-0.030256' -0.046543' 1.015528' -1.225000' -0.306250' -0.210000' -0.020462' 0.075124' 0.099971
-0.032452' -0.043127' 1.015101' -1.286250' -0.297500' -0.043750' -0.019585' 0.076001' 0.102017
-0.033245' -0.041480' 1.016870' -0.997500' -0.350000' -0.017500' -0.019585' 0.076001' 0.102017
-0.032269' -0.040870' 1.019066' -1.242500' -0.227500' -0.096250' -0.026600' 0.071909' 0.108740
-0.031537' -0.043432' 1.015162' -1.461250' -0.350000' -0.087500' -0.027477' 0.072201' 0.099532
-0.029951' -0.042944' 1.016565' -0.988750' -0.420000' -0.297500' -0.027477' 0.072201' 0.099532
-0.031903' -0.042578' 1.017358' -1.120000' -0.367500' -0.227500' -0.020462' 0.084771' 0.104648
-0.032147' -0.044103' 1.017724' -1.338750' -0.210000' -0.070000' -0.024847' 0.076001' 0.101432
-0.028670' -0.045872' 1.015772' -1.198750' -0.140000' -0.096250' -0.024847' 0.076001' 0.101432
-0.029280' -0.046360' 1.017236' -1.242500' -0.131250' -0.411250' -0.024847' 0.077463' 0.093540
-0.030134' -0.048861' 1.018029' -1.050000' -0.393750' -0.061250' -0.023385' 0.085355' 0.104209
-0.031049' -0.045445' 1.017419' -1.050000' 0.113750' -0.157500' -0.023385' 0.085355' 0.104209
-0.032452' -0.044164' 1.017358' -1.277500' -0.437500' -0.166250' -0.026893' 0.081555' 0.101578
-0.031659' -0.044225' 1.015101' -1.093750' -0.122500' -0.026250' -0.022216' 0.079217' 0.093978
-0.034343' -0.044591' 1.016931' -0.997500' -0.297500' -2.187500' -0.022216' 0.079217' 0.093978
-0.032086' -0.044042' 1.015284' -1.233750' -0.131250' -0.043750' -0.025431' 0.077170' 0.099825
-0.032940' -0.042639' 1.015772' -1.242500' -0.367500' 0.096250' -0.020170' 0.079801' 0.106694
-0.032635' -0.041907' 1.016931' -1.041250' -0.516250' -2.187500' -0.020170' 0.079801' 0.106694
-0.030744' -0.043310' 1.017846' -1.120000' -0.350000' -0.236250' -0.027185' 0.078047' 0.107132
-0.032391' -0.046421' 1.017175' -1.303750' -0.376250' -0.026250' -0.028647' 0.082140' 0.102748
-0.030622' -0.045994' 1.017114' -1.338750' -0.253750' -0.061250' -0.028647' 0.082140' 0.104794
-0.029890' -0.045323' 1.016382' -1.260000' -0.376250' -0.113750' -0.020170' 0.075417' 0.104794
-0.030988' -0.046604' 1.016992' -0.778750' -0.376250' -0.341250' -0.024847' 0.079509' 0.104940
-0.033550' -0.044347' 1.017663' -1.382500' -2.240000' -0.253750' -0.024847' 0.074540' 0.098217
-0.033550' -0.043127' 1.016748' -1.190000' -0.140000' -0.043750' -0.029231' 0.074540' 0.098217
-0.032879' -0.046421' 1.016382' -1.190000' 0.008750' -0.131250' -0.032154' 0.085647' 0.108009
-0.031232' -0.043249' 1.016382' -0.866250' -0.306250' 0.113750' -0.021631' 0.083017' 0.110786
-0.030561' -0.045201' 1.017236' -1.373750' -0.577500' -0.262500' -0.021631' 0.083017' 0.110786
-0.031476' -0.041968' 1.017785' -1.268750' -0.280000' -2.152500' -0.023385' 0.082432' 0.102163
-0.032757' -0.043249' 1.018700' -1.050000' -0.332500' -0.140000' -0.025139' 0.073955' 0.101871
-0.032879' -0.044286' 1.017236' -1.163750' -0.183750' -0.367500' -0.025139' 0.073955' 0.101871
-0.032513' -0.045994' 1.018395' -1.015000' -0.323750' -0.157500' -0.032447' 0.079217' 0.100994
-0.030561' -0.043371' 1.018883' -1.093750' -0.113750' -0.280000' -0.027185' 0.074540' 0.109617
-0.032635' -0.044774' 1.015711' -0.988750' -0.253750' -0.070000' -0.027185' 0.074540' 0.109617
-0.033123' -0.044225' 1.017053' -1.198750' -0.297500' 2.196250' -0.025723' 0.085063' 0.109763
-0.032208' -0.042456' 1.019371' -1.137500' -0.157500' -0.087500' -0.024554' 0.081847' 0.107571
-0.033367' -0.045323' 1.016382' -1.207500' -0.096250' -0.043750' -0.024554' 0.081847' 0.107571
-0.030805' -0.044042' 1.018273' -1.041250' -0.253750' -0.280000' -0.030985' 0.078340' 0.108740
-0.030317' -0.043493' 1.017541' -1.085000' -0.411250' -0.227500' -0.020462' 0.085063' 0.103186
-0.028548' -0.044225' 1.017602' -1.120000' -0.297500' -0.131250' -0.020462' 0.085063' 0.103186
-0.030744' -0.044347' 1.018090' -1.067500' -0.227500' -0.227500' -0.019000' 0.078924' 0.110640
-0.033611' -0.044957' 1.016138' -1.225000' -0.341250' -0.087500' -0.026308' 0.076878' 0.097778
-0.016775' -0.045506' 1.016992' -1.277500' -0.393750' -0.096250' -0.026308' 0.076878' 0.097778
-0.032147' -0.044957' 1.016138' -1.312500' -0.087500' 2.073750' -0.023970' 0.079509' 0.105379
-0.031415' -0.044591' 1.017053' -1.260000' -0.253750' -0.166250' -0.026893' 0.084771' 0.112833
-0.032452' -0.043127' 1.016138' -1.172500' -0.507500' -0.096250' -0.026893' 0.084771' 0.112833
-0.030622' -0.044652' 1.017907' -1.085000' -0.253750' -0.192500' -0.029524' 0.085940' 0.107863
-0.031964' -0.046482' 1.016687' -1.163750' -0.630000' 0.008750' -0.027770' 0.079801' 0.098509
-0.029951' -0.046177' 1.016626' -1.330000' -0.516250' -0.140000' -0.027770' 0.079801' 0.106840
-0.029524' -0.046238' 1.019310' -1.330000' -0.350000' 2.100000' -0.031277' 0.081555' 0.106840
-0.028792' -0.047397' 1.015528' -1.408750' -0.411250' -0.070000' -0.026016' 0.077755' 0.099825
-0.030622' -0.044103' 1.016992' -1.356250' -0.341250' -0.026250' -0.026016' 0.077170' 0.107425
-0.031293' -0.045262' 1.018395' -1.137500' -0.323750' -0.306250' -0.026308' 0.077170' 0.107425
-0.016775' -0.042334' 1.017175' -1.216250' -0.472500' -0.140000' -0.027477' 0.076878' 0.096463
-0.033367' -0.043859' 1.017907' -1.216250' -0.323750' -0.210000' -0.027770' 0.081263' 0.099825
-0.033062' -0.044286' 1.015772' -0.927500' -0.297500' -0.192500' -0.027770' 0.081263' 0.099825
-0.032452' -0.044896' 1.018334' -1.163750' -0.411250' -0.087500' -0.031277' 0.075417' 0.097048
-0.030683' -0.045445' 1.016016' -0.997500' -0.306250' 0.026250' -0.034493' 0.092371' 0.105671
-0.030256' -0.044713' 1.018517' -1.023750' -0.297500' 0.008750' -0.034493' 0.092371' 0.105671
-0.046299' -0.047275' 1.015345' -1.076250' -0.577500' 0.070000' -0.026600' 0.079801' 0.097632
-0.031842' -0.061976' 1.000827' -1.435000' -0.157500' -0.070000' -0.024847' 0.083601' 0.100409
-0.046848' -0.046360' 1.016870' -1.242500' 2.038750' -0.183750' -0.024847' 0.083601' 0.100409
-0.030622' -0.045811' 1.017541' -1.190000' -0.253750' -0.236250' -0.025431' 0.084186' 0.102602
-0.031964' -0.043127' 1.020286' -1.478750' -0.026250' -0.087500' -0.027770' 0.086232' 0.105232
-0.033184' -0.043066' 1.016382' -0.962500' -0.297500' -0.227500' -0.027770' 0.086232' 0.105232
-0.032513' -0.042029' 1.018395' -1.172500' -0.236250' -0.096250' -0.023970' 0.083017' 0.108740
-0.032452' -0.044957' 1.016870' -1.443750' -0.131250' -0.096250' -0.035077' 0.083601' 0.099971
-0.031903' -0.042883' 1.017236' -0.988750' -0.280000' -0.113750' -0.035077' 0.083601' 0.099971
-0.033733' -0.044713' 1.016260' -1.338750' -0.166250' -0.280000' -0.030108' 0.081263' 0.101432
-0.030805' -0.045872' 1.015833' -1.260000' -0.271250' -0.227500' -0.031570' 0.081263' 0.104502
-0.046848' -0.045872' 1.017053' -1.023750' -0.183750' -0.052500' -0.031570' 0.081263' 0.104502
-0.032818' -0.046238' 1.018151' -1.251250' -0.253750' -0.017500' -0.026308' 0.071032' 0.098509
-0.032086' -0.045567' 1.015223' -1.172500' -0.210000' -0.017500' -0.036539' 0.080094' 0.109179
-0.032269' -0.044408' 1.018212' -1.461250' -0.183750' -0.131250' -0.036539' 0.080094' 0.109179
-0.031964' -0.045384' 1.017785' -1.137500' -0.210000' -0.210000' -0.024262' 0.087109' 0.092663
-0.033123' -0.045567' 1.016199' -1.216250' -0.463750' -0.140000' -0.040339' 0.080094' 0.110494
-0.033001' -0.043127' 1.015833' -1.452500' -0.376250' -0.280000' -0.040339' 0.074247' 0.106109
-0.034404' -0.043432' 1.016443' -1.312500' -0.323750' -0.070000' -0.032154' 0.074247' 0.106109
