,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
0,0.047519,-1.001864,-0.144631,0.253750,0.161875,-0.223125,0.18328,0.379421,-0.442414,-97.468056,-3.376043,67.190598,0.00768,-0.01666,0.013414
1,0.047031,-1.008452,-0.1464,0.306250,0.223125,-0.258125,0.18328,0.379421,-0.442414,-97.469398,-3.375158,67.192802,0.008695,-0.016512,0.02022
2,0.050691,-1.012173,-0.146888,0.511875,0.105000,-0.27125,0.18328,0.379421,-0.442414,-97.470818,-3.375362,67.194893,0.008451,-0.014076,0.022046
3,0.050996,-0.998875,-0.144326,0.288750,0.280000,-0.284375,0.18328,0.379421,-0.442414,-97.471832,-3.377062,67.195671,0.009925,-0.011004,0.009574
4,0.048007,-1.0126,-0.146522,0.315000,0.170625,-0.310625,0.18328,0.379421,-0.442414,-97.472092,-3.377979,67.196823,0.007987,-0.016995,0.024317
5,0.047458,-1.004792,-0.14518,0.363125,0.166250,-0.284375,0.18328,0.379421,-0.442414,-97.473923,-3.376877,67.198441,0.007641,-0.016915,0.016382
6,0.05368,-1.001498,-0.143594,0.214375,0.258125,-0.214375,0.18328,0.379421,-0.442414,-97.475670,-3.377156,67.199905,0.009045,-0.010547,0.013282
7,0.051545,-1.011746,-0.145363,0.350000,0.078750,-0.25375,0.18328,0.379421,-0.442414,-97.475433,-3.378008,67.202293,0.008964,-0.013764,0.024415
8,0.050447,-1.002352,-0.147193,0.306250,0.131250,-0.354375,0.18328,0.379421,-0.442414,-97.478470,-3.377785,67.2034,0.008514,-0.016368,0.013252
9,0.04941,-1.009184,-0.143777,0.363125,0.280000,-0.293125,0.18328,0.379421,-0.442414,-97.479118,-3.376453,67.203995,0.006413,-0.014542,0.023621
10,0.052216,-1.012051,-0.146644,0.258125,0.153125,-0.310625,0.18328,0.379421,-0.442414,-97.479202,-3.378275,67.205643,0.00969,-0.013121,0.024039
11,0.05002,-1.002657,-0.145851,0.336875,0.131250,-0.275625,0.18328,0.379421,-0.442414,-97.480232,-3.379034,67.207191,0.009434,-0.014802,0.014506
12,0.049532,-1.013637,-0.145241,0.328125,0.140000,-0.301875,0.18328,0.379421,-0.442414,-97.479546,-3.377806,67.209457,0.005029,-0.016767,0.022679
13,0.048495,-1.006195,-0.144814,0.415625,0.035000,-0.205625,0.18328,0.379421,-0.442414,-97.480614,-3.375882,67.210922,0.011026,-0.018249,0.016385
14,0.051301,-1.000888,-0.147071,0.336875,0.091875,-0.1925,0.18328,0.379421,-0.442414,-97.481010,-3.376203,67.212807,0.011301,-0.014041,0.018092
15,0.047885,-1.01382,-0.146644,0.411250,0.048125,-0.354375,0.18328,0.379421,-0.442414,-97.480621,-3.376699,67.215088,0.007751,-0.017077,0.025536
16,0.049715,-1.003389,-0.145729,0.385000,0.472500,-0.249375,0.18328,0.379421,-0.442414,-97.480957,-3.376622,67.215065,0.009106,-0.014992,0.015198
17,0.053863,-1.007354,-0.144326,0.376250,0.223125,-0.3325,0.18328,0.379421,-0.442414,-97.482010,-3.377758,67.216896,0.011302,-0.016974,0.014832
18,0.052399,-1.010343,-0.146461,0.525000,0.161875,-0.1925,0.18328,0.379421,-0.442414,-97.482140,-3.380009,67.219109,0.01174,-0.013963,0.017066
19,0.048617,-0.996069,-0.145546,0.424375,0.091875,-0.18375,0.18328,0.379421,-0.442414,-97.483185,-3.378518,67.22081,0.00951,-0.013365,0.013216
20,0.047824,-1.009306,-0.145729,0.301875,0.140000,-0.293125,0.18328,0.379421,-0.442414,-97.483269,-3.377763,67.222191,0.007488,-0.016757,0.020945
21,0.051728,-1.005768,-0.146522,0.323750,0.175000,-0.28875,0.18328,0.379421,-0.442414,-97.485641,-3.378273,67.223274,0.010184,-0.013452,0.017775
22,0.04758,-1.002901,-0.145851,0.240625,0.078750,-0.363125,0.18328,0.379421,-0.442414,-97.486694,-3.379187,67.226089,0.009624,-0.012528,0.019181
23,0.051667,-1.013698,-0.145485,0.389375,0.258125,-0.188125,0.18328,0.379421,-0.442414,-97.486160,-3.378853,67.227737,0.007748,-0.017075,0.023887
24,0.049349,-1.002901,-0.147864,0.402500,0.319375,-0.23625,0.18328,0.379421,-0.442414,-97.488060,-3.379448,67.227928,0.010228,-0.015222,0.013714
25,0.052948,-1.00528,-0.144387,0.245000,0.091875,-0.275625,0.18328,0.379421,-0.442414,-97.489319,-3.381665,67.22921,0.008697,-0.011521,0.017088
26,0.050691,-1.010282,-0.146278,0.485625,0.083125,-0.32375,0.18328,0.379421,-0.442414,-97.489349,-3.383305,67.230453,0.008823,-0.014384,0.022152
27,0.047031,-0.99796,-0.145363,0.227500,0.161875,-0.39375,0.18328,0.379421,-0.442414,-97.491631,-3.384132,67.231926,0.009019,-0.015605,0.00973
28,0.052033,-1.015955,-0.148169,0.336875,0.083125,-0.188125,0.18328,0.379421,-0.442414,-97.491409,-3.383417,67.23217,0.007768,-0.015276,0.023297
29,0.050752,-1.003389,-0.145607,0.288750,0.078750,-0.258125,0.18328,0.379421,-0.442414,-97.493118,-3.383519,67.233124,0.00947,-0.012016,0.013016
30,0.049105,-1.005402,-0.148535,0.266875,0.153125,-0.2275,0.18328,0.379421,-0.442414,-97.496567,-3.383415,67.235046,0.010844,-0.01666,0.016185
31,0.051972,-1.009733,-0.148962,0.385000,0.284375,-0.258125,0.18328,0.379421,-0.442414,-97.496246,-3.382189,67.235909,0.011739,-0.014186,0.022034
32,0.051728,-1.000888,-0.147132,0.354375,0.201250,-0.3325,0.18328,0.379421,-0.442414,-97.497147,-3.383634,67.236801,0.011214,-0.013679,0.013026
33,0.047397,-1.003328,-0.129015,-0.441875,0.660625,0.056875,0.18328,0.379421,-0.442414,-97.496666,-3.375162,67.239395,0.019417,-0.020368,0.00727
34,0.045445,-1.006866,-0.147925,0.472500,0.306250,-0.42,0.18328,0.379421,-0.442414,-97.497459,-3.37693,67.239098,0.00702,-0.015962,0.018141
