,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
0,-0.007442,-1.020713,0.079239,0.345625,0.13125,-0.46375,-0.650395,0.318036,0.081263,-85.046692,-0.29503,-170.686996,0.012878,0.011380,0.021257
1,-0.008052,-1.017724,0.07442,0.07875,0.144375,-0.415625,-0.650395,0.318036,0.081263,-85.053673,-0.295111,-170.688583,0.010942,0.014519,0.021080
2,-0.007503,-1.022238,0.072224,0.310625,0.11375,-0.441875,-0.650395,0.318036,0.081263,-85.056236,-0.296715,-170.690353,0.009988,0.017999,0.024869
3,-0.003538,-1.018456,0.076677,0.455,0.161875,-0.28875,-0.650395,0.318036,0.081263,-85.054909,-0.298479,-170.691986,0.006857,0.012683,0.021507
4,-0.007808,-1.020713,0.076677,0.35875,0.04375,-0.385,-0.650395,0.318036,0.081263,-85.053215,-0.300376,-170.693909,0.011079,0.013602,0.023733
5,-0.010675,-1.019188,0.075152,0.07,0.170625,-0.25375,-0.650395,0.318036,0.081263,-85.058403,-0.299062,-170.695526,0.015631,0.015189,0.023508
6,-0.008601,-1.018334,0.070821,0.485625,0.144375,-0.42875,-0.650395,0.318036,0.081263,-85.060616,-0.298142,-170.696167,0.010307,0.018013,0.021803
7,-0.009089,-1.021262,0.075396,0.4375,0.13125,-0.345625,-0.650395,0.318036,0.081263,-85.05822,-0.298515,-170.697464,0.011151,0.014172,0.026188
8,-0.010309,-1.01992,0.075274,0.32375,0.04375,-0.46375,-0.650395,0.318036,0.081263,-85.058372,-0.299282,-170.698532,0.013324,0.015223,0.022809
9,-0.009577,-1.019859,0.074359,-0.039375,0.20125,-0.3325,-0.650395,0.318036,0.081263,-85.064301,-0.2991,-170.700073,0.012469,0.015894,0.022674
10,-0.008418,-1.019676,0.072834,0.42,0.20125,-0.42,-0.650395,0.318036,0.081263,-85.067978,-0.299277,-170.703644,0.011096,0.017126,0.022367
11,-0.006710,-1.015833,0.077226,0.520625,0.249375,-0.2975,-0.650395,0.318036,0.081263,-85.063728,-0.301699,-170.705536,0.010184,0.013097,0.022547
12,-0.008723,-1.020042,0.077043,0.310625,0.18375,-0.35875,-0.650395,0.318036,0.081263,-85.064766,-0.30145,-170.707489,0.010968,0.014755,0.022514
